Country,Code,Region,SNE1_X,SNE1_Y,SNE2_X,SNE2_Y,BeeSwarm1,BeeSwarm2
Afghanistan,AFG,South Asia,-12.570956,10.817794,2.125265766,2.79897796,0.999964652,0.552069487
Albania,ALB,Europe and Central Asia,1.927017,-6.2276587,3.523804907,6.27254471,0.998874054,0.537604376
Algeria,DZA,Middle East and North Africa,-12.882478,11.402556,-4.310619749,-2.719904987,0.687843206,0.678514332
American Samoa,ASM,East Asia and Pacific,9.404429,-17.74383,-7.296913608,-11.47606051,0.879075249,0.162144815
Andorra,AND,Europe and Central Asia,8.22776,-17.54988,4.93202312,2.392792523,0.377920847,0.011516731
Angola,AGO,Sub-Saharan Africa,-11.674362,10.30216,2.082115546,3.09110495,0.885729497,0.453966871
Antigua and Barbuda,ATG,Latin America and Caribbean,8.03786,-17.269377,13.87922687,-75.77241157,0.736396209,0.482971898
Argentina,ARG,Latin America and Caribbean,-13.072574,11.60605,-0.724341027,10.73168395,0.874006379,0.380581901
Armenia,ARM,Europe and Central Asia,1.8588717,-6.3440084,0.1544525,-0.964665298,0.878598069,0.494659293
Aruba,ABW,Latin America and Caribbean,7.88795,-16.935045,22.2408623,5.978802519,0.947527546,0.248443504
Australia,AUS,East Asia and Pacific,-9.643914,9.250923,17.07930783,-1.224920757,0.859300217,0.511416906
Austria,AUT,Europe and Central Asia,-3.794368,2.0926235,0.733616991,-0.218648988,0.113913243,0.750929412
Azerbaijan,AZE,Europe and Central Asia,-4.1992135,3.1870592,-11.99920564,-10.31439027,0.64390023,0.256288338
Bahamas,BHS,Latin America and Caribbean,6.210944,-13.253172,10.16797691,-28.80534734,0.927139517,0.216814219
Bahrain,BHR,Middle East and North Africa,3.7227592,-9.101046,-17.90046668,-53.56569169,0.40455996,0.051066579
Bangladesh,BGD,South Asia,-15.174219,15.751387,26.02294846,-78.82550855,0.91545484,0.180333174
Barbados,BRB,Latin America and Caribbean,6.795557,-14.29131,18.57964944,0.845211121,0.992970556,0.132880849
Belarus,BLR,Europe and Central Asia,-4.1608167,2.292993,-0.411223506,5.258734653,0.880395494,0.894264534
Belgium,BEL,Europe and Central Asia,-5.0496745,4.137338,-89.77700309,11.76079418,0.826223499,0.063595347
Belize,BLZ,Latin America and Caribbean,6.241685,-13.312173,-16.21374124,53.99209834,0.40047918,0.336832684
Benin,BEN,Sub-Saharan Africa,-5.847777,4.655555,-0.738267464,7.282803554,0.904799441,0.035759094
Bermuda,BMU,North America,8.289095,-17.904226,6.799039132,1.398239011,0.99645355,0.301524843
Bhutan,BTN,South Asia,5.1198235,-11.369786,-16.68440015,-0.478620515,0.970404202,0.517974
Bolivia,BOL,Latin America and Caribbean,-5.7547445,3.9895303,-0.440169916,13.33330009,0.781116,0.604800192
Bosnia and Herzegovina,BIH,Europe and Central Asia,1.4661081,-5.590877,-7.502976158,-0.392471957,0.988673967,0.927033323
Botswana,BWA,Sub-Saharan Africa,2.6371498,-6.2812824,1.460732646,1.75549092,0.823489676,0.011912874
Brazil,BRA,Latin America and Caribbean,-14.872214,16.254427,-0.001023008,-0.023661993,0.996628452,0.331099354
British Virgin Islands,VGB,Latin America and Caribbean,9.230386,-18.525675,-0.598758534,0.349495332,0.976886329,0.473428292
Brunei,BRN,East Asia and Pacific,6.0599914,-12.989266,-0.662721147,9.383009251,0.789843923,0.367659102
Bulgaria,BGR,Europe and Central Asia,-1.7731218,-0.61524117,-84.80306868,13.13451072,0.855930661,0.047170769
Burkina Faso,BFA,Sub-Saharan Africa,-9.16452,7.980327,3.523804907,-0.016726719,0.89135572,0.452414287
Burundi,BDI,Sub-Saharan Africa,-5.5662327,4.5149794,0.73950545,-9.36965376,0.651425489,0.380494402
Cambodia,KHM,East Asia and Pacific,5.649002,-12.197588,6.654718322,-0.055892852,0.997823383,0.850263311
Cameroon,CMR,Sub-Saharan Africa,-7.619972,6.5232286,-54.76358248,10.73168395,0.623362126,0.146214601
Canada,CAN,North America,-10.457029,9.036789,-25.55846689,-0.712811273,0.804994568,0.096182908
Cape Verde,CPV,Sub-Saharan Africa,-11.890862,11.303767,-119.2288745,-0.055892852,0.902954367,0.524617787
Cayman Islands,CYM,Latin America and Caribbean,8.921168,-17.424658,3.947118958,-6.138699623,0.811708368,0.273558917
Central African Republic,CAF,Sub-Saharan Africa,-0.30975044,-1.87473,-0.237090008,-28.91972297,0.840662614,0.156713437
Chad,TCD,Sub-Saharan Africa,-8.089038,6.6013775,1.537483408,11.58811385,0.942239932,0.416302502
Channel Islands,OWID_CIS,Europe and Central Asia,7.5204945,-15.567947,-3.934850341,58.53973806,0.965958182,0.74342084
Chile,CHL,Latin America and Caribbean,-8.51746,7.3231955,13.29054312,51.68081277,0.702226699,0.658705686
China,CHN,East Asia and Pacific,-11.542933,15.250616,0.150875666,-5.328305481,0.956752529,0.065721472
Colombia,COL,Latin America and Caribbean,-13.653279,11.978401,-13.74012386,-104.1437143,0.791538445,0.756764029
Comoros,COM,Sub-Saharan Africa,5.039134,-11.167249,2.25744985,0.304294483,0.674303819,0.619547399
Congo,COG,Sub-Saharan Africa,-15.397004,14.09415,22.2408623,0.27723099,0.99889627,0.346410813
Costa Rica,CRI,Latin America and Caribbean,-0.8205761,-1.5507516,-0.234009056,1.406540405,0.790024763,0.610074066
Cote d'Ivoire,CIV,Sub-Saharan Africa,-0.62183666,-2.7016032,2.42433595,1.739354082,0.556607691,0.218813578
Croatia,HRV,Europe and Central Asia,-10.542981,9.077406,-0.494538325,-23.03446086,0.074534804,0.689267762
Cuba,CUB,Latin America and Caribbean,0.7932309,-4.439757,0.169021089,-16.91810246,0.726190524,0.608104456
Curacao,CUW,Latin America and Caribbean,-4.8703737,3.9425113,0.895774894,4.663061266,0.908519805,0.11858613
Cyprus,CYP,Europe and Central Asia,7.638911,-15.951858,6.314956297,16.89354671,0.856674756,0.549907474
Czechia,CZE,Europe and Central Asia,4.09324,-9.7139635,-0.435981551,-0.109513004,0.990917657,0.535339917
Democratic Republic of Congo,COD,Sub-Saharan Africa,-4.3603888,3.5155122,-43.0687774,28.32894274,0.999417478,0.894725
Denmark,DNK,Europe and Central Asia,-1.1748698,-1.7625766,-0.284499903,-6.834737775,0.99988115,0.084946569
Djibouti,DJI,Middle East and North Africa,4.357866,-10.1549,0.252275269,3.104292846,0.913639188,0.428491978
Dominica,DMA,Latin America and Caribbean,8.847477,-17.359875,-84.80306868,-2.352413752,0.482610631,0.934879861
Dominican Republic,DOM,Latin America and Caribbean,-5.2028346,3.5194185,-3.477679336,-13.54771726,0.996458646,0.455299404
Ecuador,ECU,Latin America and Caribbean,-7.9496484,7.0575714,-12.21467186,1.935993932,0.748502812,0.543889562
Egypt,EGY,Middle East and North Africa,-15.491767,14.525327,-1.546796894,-12.71220003,0.949546261,0.732645827
El Salvador,SLV,Latin America and Caribbean,-1.4803678,-1.3724122,1.537483408,2.200870901,0.970941046,0.377459545
Equatorial Guinea,GNQ,Sub-Saharan Africa,3.4638333,-8.6784115,-1.808372898,-0.495481007,0.976232413,0.145590767
Eritrea,ERI,Sub-Saharan Africa,1.1147529,-4.9598064,1.668152969,41.74338065,0.54362587,0.851439909
Estonia,EST,Europe and Central Asia,3.921213,-9.439636,11.58538163,4.207752998,0.93690931,0.395042908
Eswatini,SWZ,Sub-Saharan Africa,4.196754,-9.885042,24.95520097,-4.42340991,0.965772465,0.523711665
Ethiopia,ETH,Sub-Saharan Africa,-15.488772,14.823176,-5.928771281,1.156993355,0.963279561,0.804039855
Faeroe Islands,FRO,Europe and Central Asia,8.154551,-18.30518,6.570937815,0.041101071,0.526287898,0.037301833
Fiji,FJI,East Asia and Pacific,4.7468367,-10.772755,-43.0687774,-3.124973723,0.983127627,0.387924123
