Country,ISO Country code,Continent,Ease of doing business score (0 = lowest performance to 100 = best performance),Economic Growth,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP (current US$),GDP growth(annual %),GDP per capita (current US$),GINI index,GNI (current US$),GNI per capita (current LCU),"Government expenditure on education, total (% of government expenditure)","Inflation, GDP deflator (annual %)",Merchandise trade (% of GDP),"Net trade in goods (BoP, current US$)",Rural population (% of total population),Start-up procedures to register a business (number),Tax payments (number),Tax revenue (% of GDP),Trade (% of GDP),"Unemployment, total (% of total labor force) (modeled ILO estimate)",CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Population density (people per sq. km of land area),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)",share of electricity from renewables generation,Surface Area (Km2),Total greenhouse gas emissions (% change from 1990),Adults (ages 15-49) newly infected with HIV,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)","Death rate, crude (per 1,000 people)",health expenditure % of GDP,health expenditure per person,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Incidence of HIV, all (per 1,000 uninfected population)","Incidence of tuberculosis (per 100,000 people)",Infant Mortality,"Life expectancy at birth, total (years)","Maternal Mortality Per 100,000 Live Births","Mortality caused by road traffic injury (per 100,000 population)","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",Population,"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Tuberculosis case detection rate (%, all forms)",Tuberculosis treatment success rate (% of new cases),Young people (ages 15-24) newly infected with HIV,% of primary school aged kids out of school,% of seats held by women in national parliaments,Access to electricity (% of population),Education as % of GDP,Happy Planet Index,Human capital index (HCI) (scale 0-1),Human Development Index,"School enrollment, secondary (% gross)",Sustainable Economic Development Assessment (SEDA),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Women Business and the Law Index Score (scale 1-100),Civil Liberties Score,Control Of Corruption,Domestic general government health expenditure (% of GDP),Financial Freedom Score,Government Effectiveness,Government Expenditure (% of GDP),Government Integrity Score,Judicial Effectiveness Score,Military expenditure (% of GDP),Military expenditure (% of general government expenditure),Military Spending as % of GDP,Overall Economic Freedom Score,Political Rights Score,Political Stability & Absence Of Violence,Regulatory Quality,Rule Of Law,UHC service coverage index,tsneEco_X,tsneEco_Y,EconomicsIndex,EconomicsClass,tsneEnv_X,tsneEnv_Y,EnvironmentIndex,EnvironmentClass,tsneHel_X,tsneHel_Y,HealthIndex,HealthClass,tsneHum_X,tsneHum_Y,HumanIndex,HumanClass,tsnePol_X,tsnePol_Y,PoliticsIndex,PoliticsClass,tsneSus_X,tsneSus_Y,SustainabilityIndex,SustainabilityClass
Haiti,HTI,North America,40.72493,-1.8,"54.52099991",20944392615,-1.8,1829.593044,60.8,20967472007,148597.5795,"12.86167049","19.34195125",20.01490364,"-2878972463",42.036,12,47,,37.41389173,"15.72599983",0.297479358,39.56691514,"15.01982438","100",412.525009,7.996146435,76.4,1165.456051,"13.007",0.136,27750,64.93352333,3500,"24.65623326","10.6268316","64.71693516","8.176",1.63,57,"0.58","0.38","159",3.4,"64.052","480","18.8","184.3","23.8","179.648","282.028","46.7","60.5",11447569,"1.8",45.2,47.2,"57",82,1300,,,46.92553329,,38.2,0.446564913,0.535,,24.2,"2.73",61.25,22,-1.42,0.52095848,30,-2.2,21.9,14.3,18.6,0.188540702,1.123201671,0.0019,50,11,-1.1,-1.3,-1.251,47,-5.3443484,-2.446437,0.083879171,Low,-5.0144606,-2.4772077,0.019815828,Low,1.3316658,2.461294,0.34716984,Low,-3.2765515,-5.124349,0.060824293,Low,-4.0877657,0.2592344,0.127609575,Low,4.7478447,-1.1833142,0.127859741,Low
Honduras,HND,North America,56.26791,12.53,"55.3030014",28488668302,12.53,2771.717461,47.1,26171826271,61153.90172,"20.11774063","3.800923573",88.65279252,"-3820203077",41.018,11,59,,85.61941811,"8.512999535",1.026225098,608.1390944,"20.62885065","99.98352171",91.37118855,42.2755159,45.96,9103.479937,"90.66",0.575,112490,49.15453646,1000,"10.68342369","17.88531912","71.43125651","4.945",6.44,187.6,"0.12","0.08","33",45.6,"71.462","65","16.1","60.7","3.6","124.302","185.81","13.9","16.2",10278345,"0.2",17.9,15.3,"62",87,100,,27,93.20671082,6.44,57.7,0.481023133,0.621,,41.9,"3.76",75,26,-1.07,2.85265684,60,-0.8,27.9,25.4,29,1.605880702,5.710355584,0.0161,59.5,21,-0.61,-0.5,-1.072,63,-3.3838935,0.9051557,0.143704052,High,2.6625144,0.9803268,0.103539726,High,-0.5140707,-2.7189586,0.477848268,High,-2.773425,0.17810652,0.535378901,High,-0.6256266,0.7344558,0.328310381,Low,0.53935325,-0.18619752,0.317756266,High
Hungary,HUN,Europe,73.41584,7.1,"56.74599838",1.82E+11,7.1,18728.12189,28.2,1.76E+11,5498751.634,"9.271349907","6.302723394",156.1160779,"-1477399000",27.755,6,11,22.53468112,155.5283775,"4.116000175",4.74663103,3965.958233,"15.92604819","100",104.3737612,10.58269066,13.64,614.0531592,"6",0.179,93030,-35.43110871,,"1.976896912","4.137190639","93.88591479","14.5",4.62,1062.4,,,"3.7",17.3,"75.61707317","12","7.7","38.8","0.2","78.363","164.516","3.4","4",9709891,,2.1,2.5,"88",66,,2.47,13,100,,45.4,0.683087289,0.846,"103.0485077",66.1,"11.35",96.875,43,0.04,4.31688643,70,0.6,48.5,44.4,62.2,1.636065872,3.209910913,0.0164,66.9,26,0.86,0.5,0.531,73,3.2520108,-2.1570597,0.237564895,High,-1.4825344,-4.6355453,0.015733906,Low,-6.9261208,-3.8459694,0.522401541,High,0.604069,5.3437047,0.547846022,High,4.793212,-0.29587966,0.486344729,High,-3.9164333,-3.0142415,0.361978219,High
Iceland,ISL,Europe,78.96154,3.7,"62.49900055",25602419210,3.7,68727.63666,28,24377259095,8309997.711,"17.42268944","5.996621196",53.91677984,"-633745895.9",6.056,5,21,22.97549395,69.45977112,"5.401000023",4.548442258,53832.47909,"6.481147263","10.28521579",3.616699029,99.97872227,81.07,471484.8723,"170",1,103000,-74.65718811,100,"4.968023006","5.560911614","89.47106595","6.3",7.56,6275,"0.07","0.03","2.9",2.9,"83.06585366","4","2","8.7","0.1",,,"1.5","1.9",372520,"0.1",1.3,2.5,"87",100,100,5.47,48,100,,48,0.745281875,0.959,"114.358429",83.7,"9.12",100,57,1.79,7.16049767,70,1.6,43.1,85.3,94.8,,,,77,37,1.37,1.5,1.755,87,4.330429,0.19493271,0.20660647,High,5.122522,-0.82764846,0.028425093,Low,-6.5559583,-6.5657945,0.262512752,Low,0.2926621,7.946933,0.717141223,High,8.419789,-1.1397543,0.637453304,High,-7.569541,-2.4836254,0.370427769,High
India,IND,Asia,71.04511,8.95,"42.84700012",3.18E+12,8.95,2256.590409,35.2,3.13E+12,165508.2679,"16.72864914","9.966416661",30.48627347,"-95449862090",64.607,10,10.94,12.01742775,37.80535358,"5.978000164",1.775922673,797.349232,"90.87321047","100",428.1875611,15.34305035,32.93,1045.468442,"1446",0.217,3287260,116.4448552,,"24.16618437","9.900612161","65.93320195","7.35",4.47,63.7,,"0.05","210",,"70.15","145","15.6","184.3","18.6","144.496","202.334","27","32.6",1407563842,"0.2",,16.3,"67",85,,5.37,14,99,4.47,36.4,0.493510902,0.633,"75.48119354",40,"5.54",74.375,33,-0.29,0.9882924,40,0.3,27.3,42.4,51.5,2.657790031,8.271418896,0.0266,53.9,33,-0.62,-0.1,-0.081,61,-3.5529826,1.8888904,0.185105035,High,-5.3685155,-6.2658944,0.037493658,Low,-0.45421097,0.24126635,0.537363998,High,-0.84629625,-2.1065843,0.43510537,Low,1.5041729,0.9429113,0.405016872,High,1.8166455,-2.9755125,0.320016987,High
Indonesia,IDN,Asia,69.57879,3.69,"64.71399689",1.19E+12,3.69,4332.709281,36.8,1.15E+12,60339955.35,"17.34799957","6.015274347",35.90704971,"28301275850",42.71,11,26,10.23014302,32.97559557,"4.413000107",2.299255915,808.4189721,"16.5026533","95.56714726",142.8098618,10.65115563,19.09,7488.235214,"2018.7",0.177,1916906.77,-33.00645608,23000,"18.92565955","4.74791485","76.32642569","8.964",2.84,120.1,"0.16","0.1","354",42.6,"68.808","177","11.3","112.4","7.1","161.38","219.64","19.5","23",273753191,"0.3",0.7,6.5,"45",86,13000,,21,96.94999695,2.84,49.6,0.540038466,0.705,,46.4,"0.57",64.375,29,-0.43,1.42157829,60,0.4,17.6,39.9,43.2,0.695925939,3.879316176,0.007,64.4,30,-0.51,0.3,-0.225,59,-3.906288,1.715036,0.267570126,High,-1.8927618,-3.2648125,0.183473441,High,-2.1624134,0.8932066,0.516575776,High,-1.5523477,-0.6682914,0.49766377,High,0.72551215,0.28219005,0.322108078,Low,0.98820126,-2.9009957,0.357478238,High
Iran,IRN,Asia,58.54658,1.76,"36.58800125",3.60E+11,1.76,4091.209187,44.5,3.61E+11,761990952,"21.24616051","56.31965464",33.533386,,23.655,10,20,,43.81016459,"11.46100044",7.277950876,2927.790204,"38.97876028","100",50.38159012,5.104887878,0.98,1484.447347,"128.5",0.094,1745150,,1900,"8.089179176","10.60366444","81.30715499","5.567",3.59,470.4,"0.04","0.03","12",21.3,"74.832","16","21.5","50.9","1","85.824","154.124","11.1","12.9",87923432,"0.1",7.7,4.1,"60",84,500,0.14,6,100,3.59,43.6,0.593404472,0.774,"89.37502289",48,"1.03",31.25,10,-1.1,3.32201433,10,-0.9,17.2,19.8,29.4,2.299160241,12.95550689,0.023,42.4,4,-1.62,-1.6,-0.947,77,-1.5452971,3.2089276,0.234635948,High,-2.7148523,-6.6138,0.021788883,Low,-3.056156,-2.4407718,0.581139515,High,0.6448646,-1.0850425,0.392105673,Low,-4.0351944,2.74375,0.240209486,Low,0.8557408,-1.8745834,0.293975901,Low
Iraq,IRQ,Asia,44.70443,2.78,"35.62400055",2.08E+11,2.78,4775.377454,,2.06E+11,6855543.735,,"33.44781553",73.36355226,"5901700000",28.881,9,15,1.984007163,56.65488154,"14.19200039",4.199836721,1243.846759,"61.63623571","100",100.0652612,3.731754737,0.43,846.8965092,"35.2",0.028,435052,55.73750806,,"15.29683139","17.81039026","66.8927789","5.239",,253.3,,,"24",1.5,"69.123","79","27.3","75.1","3","143.392","206.793","21.3","25.2",43533592,,,15.9,"55",94,,,29,100,,45.3,0.407643288,0.686,,37,"0.39",45,13,-1.25,2.2101748,,-1.3,42.7,,,2.282956711,5.368369908,0.0228,,16,-2.4,-1.1,-1.732,55,-4.318793,-2.0867143,0.164684724,High,-3.9864461,-6.7980747,0.013001556,Low,-0.46418524,-1.6344491,0.488919394,High,-2.4711401,-1.907626,0.433028909,Low,-4.6407814,1.4086232,0.226198564,Low,1.836527,-1.5568665,0.26516663,Low
Ireland,IRL,Europe,79.57614,13.48,"58.31499863",5.04E+11,13.48,100172.0793,31.3,3.83E+11,64269.86578,"13.61303043","0.657643226",61.4489667,"1.62E+11",36.088,3,9,18.0976324,247.7657633,"6.632999897",7.245143221,5672.064134,"8.208576735","0.274091679",71.61589357,27.96540802,12.34,9930.406093,"49",0.424,70280,-4.803331492,500,"5.68459569","3.909534252","90.40586873","6.4",3.39,5428.6,"0.13","0.07","4.8",11.1,"82.20487805","5","3.1","11.9","0.1",,,"2.6","3",5033165,"0.3",3.2,2.5,"87",6,100,0.14,23,100,,51.1,0.792599022,0.945,"135.2246704",80.3,"12.88",100,58,1.65,4.98130083,70,1.5,31.9,80.7,93,0.264791248,0.984127276,0.0026,82,39,0.86,1.6,1.53,83,5.430883,-0.2654145,0.213796038,High,3.9345944,-2.9007764,0.156446313,High,-5.4632535,-7.485071,0.617805564,High,0.9980506,7.350211,0.601415529,High,8.263751,-0.45720044,0.425967147,High,-6.96002,-3.8967264,0.403086119,High
Israel,ISR,Asia,76.67572,8.19,"59.09799957",4.89E+11,8.19,52170.71186,42.8,4.81E+11,165982.0664,"15.74192047","2.128294717",31.17824431,"-11675200000",7.326,4,6,22.69409183,50.88337705,"5.045000076",6.919593718,6600.89828,"21.38110224","100",424.2863616,1.89020023,4.47,82.83631544,"0.75",0.063,22070,112.1834291,,"10.31801178","4.23548509","85.44650343","5.3",6.11,3456.4,,,"2.8",2.5,"82.7","3","3.9","15.4","0.2",,,"2.9","3.6",9364000,,2,2.5,"87",81,,0.5,28,100,,48.2,0.733995318,0.919,"104.9399185",66.5,"4.21",80.625,42,0.86,4.83341503,70,1.3,40.1,65.2,85,5.171624263,12.1376624,0.0517,68,34,-1.06,1.2,0.942,84,3.700078,0.7552372,0.185911702,High,-1.8672527,-6.0106564,0.007968578,Low,-5.423398,-5.9760523,0.621720527,High,1.677668,4.1905746,0.683087063,High,6.4724655,-2.549691,0.651859211,High,-4.6951413,-4.4690113,0.430109416,High
Italy,ITA,Europe,72.85055,6.64,"43.67900085",2.11E+12,6.64,35657.49756,31.9,2.15E+12,30688.37572,"8.448579788","0.538692423",55.40667196,"78587904914",28.654,7,14,24.2381807,55.28628621,"9.833999634",5.311315442,5002.40668,"16.75071194","94.777214",195.6833163,38.67922518,17.27,3055.46305,"182.5",0.442,302068,-5.136152375,1000,"5.504788046","3.856706243","90.63850586","12.6",4.26,2905.5,"0.04","0.02","4.9",11.4,"82.34390244","2","5.3","15","0.1",,,"2.5","2.9",59109668,"0.2",1.9,2.5,"82",,100,3.5,36,100,,50.7,0.727819681,0.895,"100.9113617",69.1,"7.84",97.5,54,0.54,6.40774679,50,0.4,50.3,57.3,78.6,1.522730137,2.641425592,0.0152,65.4,36,0.58,0.5,0.269,83,1.8890873,-0.022877313,0.210266289,High,0.67303544,-1.8705899,0.147800587,High,-6.3806205,-5.0964527,0.630452383,High,-0.35191116,6.2587643,0.677493873,High,6.1974497,-1.1412386,0.514265235,High,-4.8151236,-2.9045756,0.436055673,High
Jamaica,JAM,North America,69.67997,4.6,"57.1590004",14657586937,4.6,5183.581305,35,14238786896,759299.7477,"17.31398964","7.427423702",50.60178071,"-2948517815",43.348,2,11,26.78106657,65.85976623,"9.18200016",2.981761622,1084.917705,"13.40415053","100",257.2970883,10.26200873,9.09,3846.436795,"10.823",0.119,10990,66.04742431,1200,"8.973658908","11.72928029","79.29706359","7.583",6.03,327.4,"0.76","0.5","3.3",12.9,"71.869","80","15.1","25.4","0.6","127.341","195.289","11.4","13.3",2827695,"1.3",23.1,6.9,"61",62,500,33.3,29,100,6.03,57.9,0.534977913,0.709,,49.7,"4.22",68.125,46,-0.03,3.97862124,50,0.4,27.6,49,70.6,1.412720323,4.747752365,0.0141,67.4,34,0.22,0.2,-0.168,70,0.28753215,-1.3134528,0.124483652,Low,-1.6806883,-5.0808916,0.016769171,Low,-2.0046792,-2.1601224,0.516385498,High,-4.012321,-0.24072401,0.505036512,High,4.153101,-0.51730406,0.450760627,High,-1.595542,-3.422345,0.322687092,High
Japan,JPN,Asia,77.99983,1.62,"60.1609993",4.94E+12,1.62,39312.66037,37.9,5.13E+12,4479279.635,"8.182955742","-0.875626753",30.86512291,"26646917878",8.133,8,19,,31.35871163,"2.799000025",8.540980205,7819.714636,"11.70477819","76.76150823",332.5138581,15.98478072,7.69,3395.639367,"430",0.258,377974,13.35065926,,"10.2966194","4.912859576","84.79052481","11.1",3.08,4360.5,,,"11",8.9,"84.61560976","5","3.6","11.9","0.2",,,"1.8","2.5",125681593,,0.9,3.2,"87",65,,,10,100,,47.1,0.804714262,0.925,,75.2,"7.96",78.75,56,1.57,9.00933933,60,1.4,39.1,81.4,95.3,1.073515195,2.465679463,0.0107,69.9,40,1.03,1.4,1.579,85,3.5365624,1.6442771,0.286018207,High,-1.0240383,-3.078417,0.154478929,High,-6.156212,-5.7696476,0.664931315,High,1.7263354,5.101888,0.582813238,High,8.403345,-1.6676843,0.568404373,High,-5.651366,-3.9533865,0.451329212,High
Jordan,JOR,Asia,68.97453,2.21,"30.79000092",45744271659,2.21,4103.258966,39.7,45498497011,2897.661224,"9.859749794","1.278663445",67.70246607,"-7385774648",8.374,7,9,14.7288481,65.33940474,"19.25200081",2.302152439,1921.107652,"33.00608118","100",124.8155803,0.967708005,8.17,63.7461639,"0.682",0.155,89318,134.4844571,,"10.01022905","10.38370605","79.60606586","3.475",2.99,334,,,"4.2",1.8,"75.184","46","17","51.2","0.6","72.15","115.343","12.9","15",11148278,,17,16.9,"47",86,,20.08,12,99.90000153,,43.9,0.553174376,0.72,"67.81723022",48.7,"0.69",46.875,22,0.05,3.8803432,60,0.2,32,49.5,42.6,5.018955283,14.76263253,0.0502,60.1,11,-0.28,0.2,0.213,60,-0.03316214,0.470654,0.095991743,Low,-2.8074796,-5.601599,0.009520922,Low,-2.616666,-2.057618,0.531881602,High,-1.9420708,-1.6420993,0.435638292,Low,-0.29193965,-3.297752,0.49007213,High,-0.21759626,-2.3776202,0.312620938,High
Kazakhstan,KAZ,Asia,79.55915,4,"65.68399811",1.97E+11,4,10373.78979,26.3,1.73E+11,3876079.265,"14.10953045","13.93007505",51.64366864,"9249455577",42.179,5,10,11.71779959,57.02644237,"4.900000095",11.45693783,5600.208465,"13.82428836","87.41423053",6.973095526,8.874027877,1.7,3475.809473,"64.35",0.111,2724900,-1.554896544,3200,"5.124694704","8.199853648","86.67545212","8.6",2.86,273,"0.35","0.18","74",31.2,"71.37","10","12.7","62.7","0.4","119.468","277.164","8.9","10",19000988,"0.3",0,2.5,"68",88,500,9.61,27,100,,38.6,0.628506422,0.811,"103.753273",57.7,"4.76",69.375,18,-0.24,1.67075253,50,0.1,22.2,37.9,34.5,0.866368645,3.907810889,0.0087,64.4,5,-0.25,0.1,-0.487,76,1.0432703,-1.7935756,0.194187068,High,-0.9653211,-6.3952565,0.113550064,High,-4.3816185,-1.5537634,0.499331399,High,0.582464,1.5725238,0.515948132,High,-0.9172807,2.344692,0.304863374,Low,-1.1698574,-1.8486463,0.325576008,High
Kenya,KEN,Africa,73.21648,7.52,"69.03299713",1.10E+11,7.52,2081.799855,48.5,1.09E+11,224818.7824,"18.5200386","5.004546443",23.83207613,"-8338400862",71.507,7,24,14.36127892,27.23389922,"5.742000103",0.437279031,167.4380987,"28.57837427","100",91.33072695,87.51424723,68.08,406.2691052,"20.7",0.885,580370,39.43948827,28000,"48.28991208","10.85360888","40.85647922","7.456",4.8,83.4,"1.17","0.73","251",15.7,"62.675","342","28.3","78.1","51.2","298.533","389.647","31.2","41.9",53005614,"4",26.1,26.9,"57",85,12000,,22,71.4379425,4.8,45.2,0.546752512,0.575,,35.4,"2.78",80.625,29,-0.71,2.11127639,50,-0.3,27.4,30.9,39,1.119109123,4.153656248,0.0112,52.6,19,-1.09,-0.4,-0.39,56,-5.793828,2.5173879,0.128899453,Low,2.332753,3.456128,0.033438839,Low,1.8050151,3.7032213,0.411612379,Low,-1.9824768,-3.4453545,0.45598265,Low,-0.79510283,0.29143634,0.31931945,Low,5.2938223,0.6258366,0.269850554,Low
North Korea,PRK,Asia,,,"79.40399933",,,,,,,,,,,37.358,,,,,"2.592000008",2.175850956,600.0525907,"32.00745162","100",215.4629915,72.79609813,11.31,2601.392071,"67",0.076,120540,-32.57955025,,"12.79434412","6.805653847","80.40000068","9.078",12.39,,,,"513",2.7,"73.274","89","24.2","207.2","1.4","107.911","180.708","11.6","16.5",25971909,,,41.6,"66",87,,,18,52.31354523,,,,,,,"3.8",,3,-1.61,,0,-1.6,,3.8,6.5,,,,3,0,-0.45,-2.3,-1.626,68,-4.6482763,3.0644455,0.076197406,Low,1.3295764,-4.501785,0.023848202,Low,-3.2038758,1.7207896,0.216536265,Low,-0.715051,-4.0673137,0.487533837,High,-5.516136,2.7180305,0.00235357,Low,1.7708484,-0.6086802,0.161293856,Low
South Korea,KOR,Asia,84.00083,4.02,"60.67100143",1.81E+12,4.02,34997.78164,35.7,1.83E+12,40481714.56,"13.83082008","2.497675721",69.54851965,"80604800000",18.586,3,12,15.53638373,69.03404509,"3.532000065",11.79932538,10496.51367,"25.03942539","100",515.3358829,1.894666312,3.36,1252.781281,"64.85",0.85,100410,122.6245256,,"12.82878715","9.260797206","77.91041861","5.9",,2624.5,,,"44",7.6,"83.42682927","11","8.6","20.5","1.8","31.797","72.497","2.6","3",51744876,,0.7,2.5,"94",81,,0.01,19,100,,39.8,0.798776269,0.925,"96.03928375",,"9.7",85,50,0.76,4.8600049,60,1.4,32.3,69.2,77.1,2.777019633,10.47049185,0.0278,74.6,33,0.66,1.1,1.127,87,2.9259152,0.6328749,0.309073634,High,-0.5581556,-1.3661528,0.019466187,Low,-4.382557,-5.4907303,0.62258336,High,1.3911549,5.5097833,0.587787193,High,6.923699,-1.6201028,0.619730323,High,-5.024149,-3.9372747,0.431728139,High
Kosovo,XKX,Europe,73.18473,9.13,,9412034299,9.13,5269.783901,23.2,9591067416,4540.355524,,"6.115582547",,"-2949887422",,3,10,,75.60801713,,,2818.337231,,,164.052356,2.287955548,26.1,,,,10887,,,,,,"7.505",4.46,,,,,45.7,"76.567",,,,,"55.825","106.861",,,1786038,,,,,,,,,,,,0.567331731,,,,,91.875,31,-0.32,,30,-0.2,27.1,37.5,31,0.939858934,2.804916667,0.0094,60.1,25,-0.12,-0.3,-0.275,,0.5397951,-2.1315408,0.098156539,Low,-2.9503515,-4.6321373,0.01323979,Low,-1.9675573,-3.6346998,0.493523727,High,-1.5067251,2.2826087,0.569085291,High,1.1246362,0.20415403,0.334768099,Low,-1.3788298,-2.3546999,0.301754689,High
Kuwait,KWT,Asia,67.40473,,"67.8730011",,-8.86,,,,,"12.82629967",,,"15412364037",0,7,12,,,"3.713999987",20.86194896,15297.81071,"60.74515954","100",238.5024691,0,0.06,0,"0",0.001,17820,,,"7.085531171","13.54519571","79.36927174","3.254",6.55,1758.7,,,"20",13.7,"76.92","12","15.4","103.8","0.1","43.207","84.858","7.6","8.9",4250114,,4.9,2.7,"87",82,,,2,100,6.55,33.3,0.562588036,0.831,,65.7,"0.003",35,23,-0.03,4.77939463,60,0,51.5,43.8,42,6.69062243,11.98466799,0.0669,58.3,14,0.3,0.2,0.261,70,2.413392,1.944695,0.2361252,High,-3.046783,-8.376036,4.14E-05,Low,-2.5793457,-4.2316675,0.556038442,High,1.2629209,-0.9246523,0.393808296,Low,-0.23702708,-3.6720867,0.540611894,High,-3.6918268,1.0369688,0.345325047,High
Kyrgyzstan,KGZ,Asia,67.82089,3.61,"51.35400009",8543423503,3.61,1276.700365,33.4,7847822799,99262.6797,"16.47274971","15.96865492",84.61479169,"-1439574039",62.854,4,26,17.99885701,83.47131195,"9.104000092",1.556643256,1941.221832,"22.73776806","97.43255692",33.46736684,85.18802763,27.88,7578.761501,"48.93",0.924,199950,-58.55342581,1000,"10.44143105","7.972389036","81.58617806","6.1",5.55,62.1,"0.19","0.1","130",22,"71.8","60","12.7","110.7","0.8","114.576","271.377","15.7","17.5",6691800,"0.2",1,5.3,"54",82,200,0.12,20,99.98104858,5.37,53.7,0.596617103,0.692,"98.08365631",45.4,"6.26",76.875,23,-1.12,2.31117272,50,-0.7,37.3,28.8,11.8,1.669213783,4.3775461,0.0167,55.8,4,-0.43,-0.6,-1.074,70,-1.0487545,-1.3377471,0.105677193,Low,1.2040638,2.5137198,0.139303467,High,-3.1215577,-0.9709562,0.483296053,High,-1.6098466,1.6526554,0.56436124,High,-2.1103024,1.9820474,0.284565094,Low,0.7310812,0.34032443,0.315440609,High
Laos,LAO,Asia,50.82456,2.53,"75.47299957",18827148510,2.53,2535.623432,36.7,17689912749,23104911.43,"11.62313557","3.713448371",74.20135871,"744530807.8",63.061,10,35,,,"1.258000016",2.594268107,,"25.10953834","100",31.35581503,86.36999958,48.43,26400.24969,"190.4",0.644,236800,436.761576,1000,"25.64050373","9.016548683","65.34294806","6.366",2.23,68.2,"0.19","0.11","143",6,"68.497","185","17.9","188.5","11.3","139.036","194.231","35.3","44.1",7425057,"0.3",8.3,5.1,"58",89,500,8.24,22,100,2.23,42.8,0.456665337,0.607,"62.76162338",37.8,"10.72",88.125,11,-1.04,0.9597249,20,-0.6,26.3,20.4,11.1,,,,49.2,2,0.73,-0.9,-0.642,50,-6.013049,1.1920038,0.166415287,High,2.1165984,2.5028543,0.056369296,Low,-1.0026897,1.216485,0.433326638,Low,-0.3094515,-2.5669568,0.372017998,Low,-3.304691,1.7666045,0.236195202,Low,2.4946961,0.29347438,0.252864884,Low
Latvia,LVA,Europe,80.28054,4.48,"55.5",39853501580,4.48,21148.16294,34.5,39119352197,17551.2648,"11.7610302","6.881441804",113.5910226,"-1765557358",31.579,4,7,22.82673718,118.831064,"7.599999905",3.955435862,3507.404521,"13.42645752","89.0140462",29.17618826,50.17169709,41.52,8851.397883,"16.94",0.666,64590,-58.58376876,500,"3.040765024","4.965626835","91.99360983","15.2",4.24,1166.8,"0.62","0.29","16",,"75.38780488","19","8.1","41.3","0.1",,,"3.4","4",1884490,"0.7",0.7,2.5,"87",,100,1.18,29,100,,34.1,0.706581414,0.863,"105.9562836",66.1,"12.77",100,51,0.75,3.98357701,60,0.9,37,61.1,75.1,2.280418981,4.761256045,0.0228,74.8,37,0.69,1.2,0.981,72,2.3826525,-1.253599,0.13532754,Low,2.0680728,0.82430947,0.127728546,High,-7.0243063,-3.6077216,0.488762067,High,1.552782,6.2288995,0.536203702,High,6.48071,-0.6068303,0.559968004,High,-4.742993,-2.5461254,0.369597972,High
Lebanon,LBN,Asia,54.3316,-10.52,"36.31900024",23131940281,-10.52,4136.146347,,22231940281,46728714.62,"8.143950462","150.000705",79.74687716,"-6584212307",10.907,8,20,15.32540546,50.12980429,"14.48799992",4.83404537,2583.378464,"30.62111051","100",535.18,2.603826919,5.46,830.1759264,"4.8",0.039,10450,,200,"5.553377481","5.895493322","88.55113038","6.253",2.52,663.1,"0.06","0.03","9.7",58.1,"77.804","29","16.4","51.4","0.8","60.448","89.717","6","7",5592631,"0.1",10.2,10.9,"87",81,100,,5,100,,39,0.515125513,0.706,,44.8,"1.71",58.75,29,-1.23,4.23522329,50,-1.3,26.9,22.8,27.4,,,,47.3,13,-1.49,-0.9,-1.074,72,0.64903533,3.8285785,0.141233878,Low,-2.5156822,-5.957103,0.010165084,Low,-2.7281425,-5.384591,0.491715787,High,-0.60268134,-1.2359451,0.419605939,Low,-1.4008534,1.3865049,0.297539679,Low,0.21268257,-2.2283897,0.272052073,Low
